id_bat;len_occ_brat;len_occ_db;miss_db;miss_brat;miss_all;max_nomen;miss_nomen_db;miss_area;miss_nomen_brat;nomen_brat;nomen_db;geometry
56214;1;0;1;0;1;1;['01'];20.0;[];['01'];[];POLYGON ((147785.770000002 164393.290842451, 147789.920000002 164390.810842452, 147787.830000002 164387.300842453, 147783.670000002 164389.790842453, 147785.770000002 164393.290842451))
74031;1;0;1;0;1;1;['01'];22.0;[];['01'];[];POLYGON ((147545.500000003 164457.090842452, 147550.570000171 164457.570842418, 147551.000000003 164453.28084245, 147545.940000003 164452.770842451, 147545.500000003 164457.090842452))
15123;1;0;1;0;1;1;['01'];32.0;[];['01'];[];POLYGON ((147663.464000002 164417.248842451, 147665.895000002 164419.920842454, 147667.110000003 164418.950842452, 147669.390000002 164417.070842451, 147667.130000002 164414.330842452, 147663.464000002 164417.248842451))
34806;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147570.940000003 164322.340842452, 147573.370000003 164331.670842452, 147577.680000002 164330.880842451, 147576.040000003 164322.150842452, 147570.940000003 164322.340842452))
80765;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147576.040000003 164322.150842452, 147577.680000002 164330.880842451, 147577.760000003 164331.340842452, 147577.870000003 164331.320842454, 147582.832000003 164330.412842451, 147581.267000003 164321.950842453, 147576.040000003 164322.150842452))
42317;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147710.946000002 164351.868842452, 147716.308000002 164354.275842451, 147719.720000002 164346.670842451, 147714.240000002 164344.210842453, 147710.946000002 164351.868842452))
65322;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147750.640000002 164369.290842452, 147756.350000002 164370.500842452, 147758.430000002 164362.440842452, 147752.660000002 164360.970842451, 147750.640000002 164369.290842452))
88107;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147699.840000002 164347.000842451, 147705.151000002 164349.377842453, 147708.780000002 164341.760842451, 147703.290000002 164339.290842451, 147699.840000002 164347.000842451))
30323;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147705.151000002 164349.377842453, 147705.270000002 164349.430842451, 147705.100000002 164349.810842452, 147710.610000002 164352.290842451, 147710.820000002 164351.810842451, 147710.946000002 164351.868842452, 147714.240000002 164344.210842453, 147708.780000002 164341.760842451, 147705.151000002 164349.377842453))
30074;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147740.416100007 164359.608184904, 147740.057500002 164359.447284904, 147741.417000008 164356.416684903, 147736.322600004 164354.131284903, 147734.603100006 164357.964484903, 147732.883500007 164361.797684904, 147732.616300006 164362.393284907, 147738.069300008 164364.839584905, 147738.154900004 164364.648684902, 147738.826300007 164364.949884902, 147739.887500007 164362.584384903, 147739.216100004 164362.283184905, 147740.416100007 164359.608184904))
53956;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147756.350000002 164370.500842452, 147756.150000002 164371.310842452, 147762.070000002 164372.740842452, 147762.250000002 164372.010842451, 147764.220000002 164363.910842451, 147758.430000002 164362.440842452, 147756.350000002 164370.500842452))
10643;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147747.734000002 164359.715842451, 147746.869000002 164363.203842452, 147745.439000002 164362.853842452, 147743.706000002 164369.737842453, 147747.610000002 164370.720842452, 147748.120000002 164368.660842453, 147750.640000002 164369.290842452, 147752.660000002 164360.970842451, 147747.734000002 164359.715842451))
94384;1;1;0;0;0;1;[];0.0;[];['01'];['01'];POLYGON ((147698.771000002 164337.318842451, 147697.292000002 164340.607842452, 147696.322000002 164340.177842451, 147693.465000002 164346.563842452, 147698.940000002 164349.020842452, 147699.840000002 164347.000842451, 147703.290000002 164339.290842451, 147698.771000002 164337.318842451))
