id_bat;nomen_miss;miss_area
6090829.0;01;14.09
6090832.0;01;49.35
6090878.0;01;87.46
6090955.0;01;262.38
6090983.0;14;73.71
6091088.0;01;412.52
6091147.0;04;231.73
6093166.0;16;21.95
6093176.0;16;44.37
6098656.0;03;13.0
6098781.0;03;8374.0
6098796.0;01;5.0
6098823.0;01;7.0
6098829.0;01;8.0
6098830.0;01;9.0
6098842.0;04;12.0
6098851.0;01;11.0
6098854.0;01;13.0
6098859.0;01;14.0
6098883.0;01;21.0
6099080.0;01;100.0
6099196.0;04;501.0
6099213.0;03;880.0
6099216.0;03;902.0
6100138.0;14;3.0
6100185.0;01;37.0
6100254.0;05;783.0
6100360.0;01;4.0
6100384.0;14;19.0
6100386.0;01;20.0
6100390.0;01;27.0
6100448.0;04;382.0
6100452.0;04;1126.0
6100459.0;03;800.0
6100463.0;06;6636.0
6100650.0;03;796.0
6100655.0;03;7148.0
6102990.0;03;48.0
6103005.0;16;803.0
6103024.0;01;6.0
6103035.0;14;16.0
6103041.0;04;26.0
6103042.0;03;162.0
6103054.0;14;65.0
6103063.0;14;85.0
6103065.0;05;91.0
6103309.0;16;56.5
6103460.0;09;159.59
6109022.0;14;22.01
6109042.0;03;2196.2400000000002
6109046.0;03;3619.0
6109050.0;03;1100.0
6110184.0;01;6.0
6110185.0;01;5.0
6110186.0;01;5.0
6110187.0;01;7.0
6110206.0;01;580.0
6110208.0;03;270.0
6110208.0;04;124.0
6110209.0;04;197.0
6111136.0;01;27.2
6111393.0;04;39.6
6111981.0;01;148.41
6112749.0;04;59.0
6114024.0;01;358.04
6114834.0;14;83.0
6116137.0;04;105.64
6116862.0;03;126.38
6116862.0;04;126.38
6118060.0;05;211.0
6118161.0;04;765.94
6118812.0;03;1478.0
6118924.0;03;1699.44
6119123.0;01;537.9
6119198.0;01;618.49
6119204.0;01;8124.220000000003
6119303.0;20;2344.17
6119397.0;01;1015.08
6119528.0;04;800.0
6119558.0;14;10.0
6119558.0;04;3326.0
6119947.0;01;13.0
6145448.0;14;249.0
6146103.0;03;277.76
6146350.0;03;2734.0
6146490.0;04;10.4
6146894.0;06;2493.6499999999996
6147288.0;09;33.64
6147295.0;09;10.68
6147521.0;03;15.0
6147610.0;03;1022.48
6147611.0;14;10.34
6148589.0;01;27.0
6148593.0;03;39.0
6148595.0;03;108.0
6148715.0;04;34.0
6149153.0;13;66.96
6149306.0;05;49.19
6149772.0;01;11.01
6149808.0;01;2.66
6149810.0;01;6.05
6149811.0;01;3.0
6149812.0;01;3.99
6149817.0;01;4.83
6150305.0;14;19.0
6150306.0;14;11.0
6150431.0;14;10.0
6150434.0;14;40.0
6150435.0;04;54.0
6150542.0;04;9.55
6150543.0;04;10.7
6150750.0;14;6.0
6150753.0;01;5.0
6150754.0;01;6.0
6150759.0;01;8.0
6150768.0;14;9.0
6150795.0;14;9.0
6150796.0;14;8.0
6150815.0;14;22.0
6150860.0;04;18.17
6151750.0;03;26.95
6151752.0;09;11.69
6151754.0;03;74.04
6152008.0;03;86.0
6152009.0;03;83.0
6152450.0;05;23.0
6152521.0;14;2.0
6152617.0;01;4.0
6152618.0;01;3.0
6152619.0;01;3.0
6152620.0;01;4.0
6152621.0;01;5.0
6152622.0;01;4.0
6152623.0;01;4.0
6152624.0;01;4.0
6152625.0;01;4.0
6152626.0;01;4.0
6152627.0;01;3.0
6152628.0;01;3.0
6152629.0;01;3.0
6152630.0;01;4.0
6152631.0;01;4.0
6152632.0;01;4.0
6152633.0;01;4.0
6152634.0;01;4.0
6152635.0;01;4.0
6152636.0;01;4.0
6152637.0;01;4.0
6152638.0;01;4.0
6152639.0;01;4.0
6152640.0;01;4.0
6152641.0;01;3.0
6152642.0;01;4.0
6152643.0;01;4.0
6152645.0;04;11.0
6152646.0;01;4.0
6152647.0;01;4.0
6152648.0;01;4.0
6152649.0;01;12.0
6152651.0;01;18.0
6153136.0;14;3.0
6153137.0;14;9.0
6153141.0;01;15.0
6153142.0;01;22.0
6153159.0;01;8.0
6153170.0;01;49.0
6153190.0;03;798.0
6153220.0;04;10.0
6154223.0;01;5.0
6156742.0;04;15.0
6156758.0;01;65.0
6156759.0;01;22.0
6156775.0;04;36.0
6156850.0;04;6756.0
6157985.0;03;800.0
7185311.0;06;36.0
7185335.0;01;10.0
7185351.0;01;8.0
7185385.0;01;21.0
7185389.0;01;9.0
7185417.0;09;4000.0
7492328.0;01;9.0
7492434.0;01;41.0
7492442.0;01;29.0
7492466.0;06;69.0
7492476.0;06;80.0
