id_bat;nomen_miss;miss_area
86240;6;402.56
99281;6;409.37
79563;1;89.76
19448;3;118.75
51599;7;152.07
37583;3;671.05
49707;5;78.72
49707;1;236.16
5134;3;100.33
28687;3;90.11
64315;3;90.24
87125;1;204.36
87125;3;102.18
80544;1;119.91
98171;1;120.36
44675;9;225.94
21643;1;765.25
81598;1;473.76
46306;7;2221.16
44687;1;45.84
59666;3;605.52
45148;1;368.28
6684;2;181.72
80703;1;108.94
68478;3;100.14
84181;10;63.38
69507;9;91.64
66370;4;374.49
76482;1;229.7
94004;7;50.56
94004;13;35.0
9582;7;82.18
66723;3;83.23
55820;1;1817.05
96707;1;74.18
93442;1;67.56
42990;3;92.21
15084;6;827.1500000000001
80376;9;254.53
87197;5;38.97
50300;3;74.61
64806;1;206.28000000000003
69463;1;82.06
86665;1;82.17
85489;1;209.68
18170;7;105.61
16999;1;191.97
12379;1;42.7
11039;7;131.46
63994;1;88.02
99619;1;249.45
87530;5;186.36
52414;7;106.51
52414;3;213.02
43227;5;106.72
41637;5;106.9
59546;3;329.53
78649;2;737.12
35905;2;1033.14
91881;3;50.0
65433;3;175.92
28082;10;529.92
37470;2;1404.64
35747;1;92.4
34271;1;94.05
73777;3;94.2
63304;1;430.16
43298;16;108.18
24827;13;357.39
28887;1;526.04
46320;3;148.68
7462;1;168.42
49159;3;94.7
40908;3;189.54
83756;1;218.38
19811;1;185.65
74003;7;148.89
36028;1;603.71
80607;6;711.88
97327;3;376.12
7016;14;51.13
19169;1;51.51
4810;2;381.32
62492;1;70.0
40928;1;109.75
59666;3;269.46
92030;3;135.21
80151;1;194.85
26317;20;191.24
69024;1;96.32
39586;3;556.4
87016;8;580.39
73284;5;318.21
57538;1;2562.12
38735;4;810.68
64954;1;204.69
31318;1;85.35
33231;1;86.09
30761;1;169.95
35386;7;72.03
25245;1;317.64
30549;16;97.45
47808;1;2.7
93684;20;2115.06
77293;16;743.27
3397;1;4.03
80998;4;912.32
70285;4;980.55
91357;3;960.0
61592;4;1184.15
70591;13;2494.1
98564;5;66.72
54071;4;1400.0
54071;3;673.32
54333;4;1803.67
68381;1;6.73
21751;3;1292.82
99009;1;9.26
48819;16;8.61
56575;1;9.42
13891;1;16.61
43431;1;20.99
33699;4;77.56
38834;7;78.58
62874;3;81.26
77966;1;52.59
89565;1;18.0
53070;5;88.0
62720;1;458.0
48233;4;248.0
8982;5;499.0
8217;7;150.0
43690;5;569.0
62319;5;29.0
61802;1;29.0
59568;1;34.0
92669;5;745.0
35142;3;1062.0
61134;1;60.0
12887;1;200.0
76944;3;712.0
12784;4;1439.0
12784;3;572.0
22962;5;6165.0
367;4;1832.0
32985;1;124.0
23470;3;2159.0
38202;1;333.0
28202;1;134.0
51172;1;159.0
81093;1;207.0
11359;1;219.0
11770;1;73.0
64855;3;249.0
80564;1;297.0
11421;5;307.0
8271;1;323.0
75534;5;990.0
72550;1;416.0
6293;14;9.0
9116;4;3917.0
82465;1;4096.0
41210;4;3402.0
28171;9;3415.0
28171;3;4415.0
14695;9;182.0
43054;1;227.64
4098;1;230.09
46646;4;228.0
15255;4;323.24
90777;3;646.0
22460;4;360.0
28520;1;1631.54
52930;5;276.55
52930;3;312.0
60801;4;1123.0
44265;1;996.58
57518;4;564.0
56079;1;1170.92
3696;4;643.0
78167;4;730.0
58622;3;6146.0
64318;1;3415.2300000000005
40343;4;10840.0
62942;4;29.0
18470;3;14500.0
70181;4;3716.0
84133;5;700.0
16214;16;2127.0
