id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;area_occ;source;date_insert;date_out
482304;26.3;1.0;26.30304750027764;505;;;;;;
920741;751.88;6.0;3165.782782115333;505;03.00.00.00;bureau;2100.0;ob40;2024-12-16 14:36:00;
772492;215.25;1.0;215.25001421743852;505;03.00.00.00;bureau;;cada_fill;2025-01-01 00:01:00;
768988;153.91;1.0;153.9124429978604;505;06.01.01.00;équipements;;petite_enfance;2024-09-18 15:53;
387869;145.7;3.0;287.1639229361343;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
830692;97.1;3.0;267.92090727865383;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
57452;97.98;1.0;97.97810749760184;505;01.50.01.00;logement;;cada_garage;2025-01-01 00:01:00;
98262;136.23;1.0;136.22863602348153;505;;;;;;
628654;21.16;;21.163405001441483;505;;;;;;
170358;431.68;2.0;841.3984026101672;505;05.02.06.01;commerce;;hub;2024-10-17 15:01:00;
812186;16.02;;16.0157673104034;505;01.50.00.00;logement;;annexe;2025-03-27 15:10;
281784;69.91;2.0;100.98370206255912;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
738059;90.49;2.0;138.18934253744615;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
84993;68.54;2.0;101.10716309236491;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
13815;70.33;2.0;117.97770114127306;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
941843;68.78;2.0;112.95668140965392;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
553053;213.04;2.0;257.3632523359201;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
638003;122.79;2.0;229.9639808377696;505;;;;;;
643401;231.06;1.0;231.05990989005727;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
424274;76.67;2.0;114.34616670694597;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
111805;1310.52;2.0;1856.0612424122287;504;03.00.00.00;bureau;;cada_fill;2025-01-01 00:01:00;
225194;167.53;4.0;561.066439575433;505;01.00.00.00;logement;;BLogement;2024-09-18 15:32;
