id_bat;area;level_all;SP;id_block;nomenclature;regroupement_fill;date_insert;date_out;nomen
449678;4575.96;2.0;8272.071291551454;527;04.03.00.00;industrie;2024-11-14 15:18;;04
449678;4575.96;2.0;8272.071291551454;527;04.04.00.00;industrie;2024-11-14 15:18;;04
867298;3071.9;3.0;7627.124366705091;527;03.04.00.00;bureau;2024-12-16 14:36:00;;03
554906;1.92;;1.920450000066191;527;;;;;
348882;16899.78;1.0;16899.78195793184;527;04.05.07.00;industrie;2024-11-14 15:17;;04
348882;16899.78;1.0;16899.78195793184;527;09.03.00.00;équipements;2024-11-14 15:18;;09
125114;10590.17;1.0;10590.171625012646;527;09.03.00.00;équipements;2024-11-14 15:18;;09
812232;11478.57;1.0;11478.571632407027;527;04.05.07.00;industrie;2024-11-14 15:17;;04
812232;11478.57;1.0;11478.571632407027;527;09.03.00.00;équipements;2024-11-14 15:18;;09
745682;37.18;0.0;0.0;527;;;;;
434272;52.47;0.0;0.0;527;;;;;
902894;19200.7;2.0;29034.631185411334;527;04.05.07.00;industrie;2024-11-14 15:17;;04
902894;19200.7;2.0;29034.631185411334;527;09.03.00.00;équipements;2024-11-14 15:18;;09
942854;12.56;;12.56384999973403;527;;;;;
796115;59.35;;;527;;;;;
552307;10925.61;1.0;10925.60662199335;527;04.05.07.00;industrie;2024-11-14 15:17;;04
552307;10925.61;1.0;10925.60662199335;527;09.03.00.00;équipements;2024-11-14 15:18;;09
533864;2269.36;3.0;5925.432843223764;527;;;;;
655407;442.31;3.0;1326.9274130974566;527;;;;;
883510;654.54;1.0;654.5439630285329;527;;;;;
745184;279.82;1.0;279.8184912875152;527;;;;;
985031;106.51;1.0;106.5054570209017;527;;;;;
840940;544.43;1.0;544.4301382699334;527;05.06.04.01;commerce;2024-10-17 15:01;;05
840940;544.43;1.0;544.4301382699334;527;05.01.01.09;commerce;2024-10-17 15:01;;05
816815;135.14;2.0;212.3029317087198;527;01.00.00.00;logement;2024-09-18 15:32;;01
20480;88.09;2.0;166.52118397215233;527;01.00.00.00;logement;2024-09-18 15:32;;01
527043;109.42;3.0;328.2638895185203;527;01.00.00.00;logement;2024-09-18 15:32;;01
393966;5.14;1.0;5.142208807223774;527;;;;;
865908;321.73;1.0;321.7256959829268;527;;;;;
848547;12.61;;12.61259093313654;527;;;;;
691951;0.94;;0.94033862577842;527;;;;;
459302;12.61;;12.608336065552844;527;;;;;
628778;5.52;;5.51957700085198;527;;;;;
418074;3.57;1.0;3.570144000260305;527;;;;;
540575;9.2;;9.20363618578522;527;;;;;
230017;5.65;1.0;5.651999176998634;527;01.50.00.00;logement;2024-09-23 10:43;;01
922890;93.75;2.0;127.6493082763979;527;01.00.00.00;logement;2024-09-18 15:32;;01
929677;88.59;2.0;135.57983346644173;527;01.00.00.00;logement;2024-09-18 15:32;;01
966622;81.04;2.0;139.09591464947948;527;01.00.00.00;logement;2024-09-18 15:32;;01
59875;91.6;3.0;222.57416970967256;527;01.00.00.00;logement;2024-09-18 15:32;;01
952107;72.99;3.0;189.660878378951;527;01.00.00.00;logement;2024-09-18 15:32;;01
219443;11.79;;11.793182458944374;527;01.50.00.00;logement;2024-09-23 10:43;;01
52621;76.37;2.0;113.20222421545112;527;01.00.00.00;logement;2024-09-18 15:32;;01
34442;74.95;2.0;120.39898569170104;527;01.00.00.00;logement;2024-09-18 15:32;;01
764229;90.85;2.0;128.8737462034665;527;01.00.00.00;logement;2024-09-18 15:32;;01
853793;90.24;2.0;123.39318577485788;527;01.00.00.00;logement;2024-09-18 15:32;;01
338372;9.74;1.0;9.74470453942314;527;01.50.00.00;logement;2024-09-23 10:43;;01
168058;5.92;1.0;5.920558994480741;527;01.50.00.00;logement;2024-09-23 10:43;;01
636284;10.23;1.0;10.226141215588408;527;01.50.00.00;logement;2024-09-23 10:43;;01
731650;365.77;2.0;503.7426983134772;527;01.00.00.00;logement;2024-09-18 15:32;;01
731650;365.77;2.0;503.7426983134772;527;05.05.01.01;commerce;2024-10-17 15:01;;05
470585;1.06;1.0;1.057772600115337;527;01.50.00.00;logement;2024-09-23 10:43;;01
868829;178.64;2.0;349.76995175535086;527;03.03.01.00;bureau;2024-12-16 14:36:00;;03
491151;696.16;4.0;2397.1559879503866;527;;;;;
958646;501.55;2.0;789.474787127057;527;01.00.00.00;logement;2024-09-18 15:32;;01
353649;26.35;;26.34530750155693;527;;;;;
93927;262.17;1.0;262.1663107896791;527;;;;;
624146;3578.51;2.0;7104.844949975574;527;04.02.01.07;industrie;2024-11-14 15:18;;04
326785;39.76;1.0;39.76356899866568;527;;;;;
183729;452.31;1.0;452.310144018238;527;04.05.04.00;industrie;2024-11-14 15:18;;04
441521;158.75;1.0;158.75483610710242;527;04.05.04.00;industrie;2024-11-14 15:18;;04
887392;382.42;1.0;382.424662001942;527;;;;;
224900;54.39;1.0;54.3908439971496;527;;;;;
